Brand,ID,Date,Rating,Title,Text,Locale,Incentivized,Sustainability,Gender
Nike,609162,2026-01-16,1.0,,Looks good in photos only in online.,en_US,False,Sustainable,Male
Nike,596976,2026-01-13,1.0,I will not buy again,Because this one let’s cold air in that’s not I expected I wear ones and I don’t like it,en_GB,False,Sustainable,Male
Nike,601294,2026-01-08,5.0,Revolution 7 was a great shoe!,"I was barely able to get the Revolution 7 before they were gone and I have to say, this is the running show Nike used to be known for.  A simple, affordable, light, well fitting running shoe.  I got away from Nike because their shoes had become too complicated, too specialized and could never find the right shoe anymore.  The shoe is slightly on the firm side but it has great control.  I hope when the time comes, the Revolution 8 is just as good!",en_US,False,Sustainable,Male
Nike,601584,2025-12-31,4.0,Odd toe box,I got these shoes as a Christmas gift. I usually wear 9.5 or 10 across all brands. I received size 10 and my toes were squished to the end and also height wise. I do like how light the shoes are and they have great arch support.,en_US,False,Sustainable,Male
Nike,589880,2025-12-22,1.0,unusual heel slip and weird space at the bridge,unusual heel slip and weird space at the bridge,en_US,False,Sustainable,Male
Nike,588630,2025-12-21,5.0,Excellent,Excellent trainers at a very good price. My son loves them.,en_GB,False,Sustainable,Male
Nike,589467,2025-12-18,5.0,,They’re very comfortable and they look good on me.,en_US,False,Sustainable,Male
Nike,593430,2025-12-17,1.0,"Comfortable, but not durable","I ordered these in early August for my son, who works out most every day. At least once a week, this includes a 10-mile run. While they were comfortable and cushiony from the start, the uppers started ripping about a month ago. I am not impressed. But, hey, that definitely made them more breathable!",en_US,False,Sustainable,Male
Nike,588383,2025-12-13,5.0,Great,Comfortable. Good value. Fast delivery.,en_GB,False,Sustainable,Male
Nike,584749,2025-12-10,5.0,Great shoes,"My son has not been able to wear them because they were small for him, but I exchange them and I am waiting for the new size. He had the chance to try them and loved them.",en_US,False,Sustainable,Male
Nike,584117,2025-12-08,5.0,My Review,Very comfortable and a great price,en_GB,False,Sustainable,Male
Nike,579346,2025-12-08,5.0,,"Very comfortable shoes, I like it!",en_GB,False,Sustainable,Male
